datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686114965,283.73,283.01,282.91,284.48,1022,83,10000,4.63,50,75
1686115011,283.72,283.0,282.91,284.48,1022,83,10000,4.63,50,75
1686115011,283.72,283.0,282.91,284.48,1022,83,10000,4.63,50,75
1686115295,283.72,283.0,282.91,284.48,1022,83,10000,4.63,50,75
1686115295,283.72,283.0,282.91,284.48,1022,83,10000,4.63,50,75
1686115654,283.77,283.05,282.91,284.48,1022,83,10000,4.63,50,75
1686115654,283.77,283.05,282.91,284.48,1022,83,10000,4.63,50,75
1686115654,283.77,283.05,282.91,284.48,1022,83,10000,4.63,50,75
1686115854,283.78,283.07,282.91,284.66,1022,83,10000,4.63,50,75
1686115854,283.78,283.07,282.91,284.66,1022,83,10000,4.63,50,75
1686116292,283.78,283.07,282.91,284.72,1022,83,10000,4.63,60,75
1686116292,283.78,283.07,282.91,284.72,1022,83,10000,4.63,60,75
1686116292,283.78,283.07,282.91,284.72,1022,83,10000,4.63,60,75
1686116472,283.78,283.07,282.91,284.72,1022,83,10000,4.63,60,75
1686116501,283.78,283.07,282.91,284.72,1022,83,10000,4.63,60,75
1686116920,283.89,283.13,283.03,284.99,1022,81,10000,4.63,60,75
1686116920,283.89,283.13,283.03,284.99,1022,81,10000,4.63,60,75
